Episode,Score
110,-267.6845105325187
111,-289.8207212661692
112,-122.08791508483478
113,-167.0975742626018
114,-295.7674520629634
115,-296.73121119089626
116,-352.2999228576975
117,-306.5547029586387
118,-311.1586923804344
119,-209.94323634551725
120,-250.46957538421057
121,-188.6606036799122
122,-298.5251913389435
123,-289.2105477878617
124,-123.18400454750818
125,-288.36115516078894
126,-286.13968354959013
127,-131.6552583526703
128,-272.55892612894854
129,-144.27539886685446
130,-286.9337215006812
131,-310.25057759103123
132,-140.17366553218213
133,-226.55196969370456
134,-282.70062121202034
135,-129.98645882636643
136,-275.4558218582327
137,-149.03051623706926
138,-181.45470730746607
139,-150.0257765414989
140,-157.8228503538555
141,-167.4755236644207
142,-125.26422845763578
143,-96.72469109572764
144,-157.50386348806967
145,-178.02236478129612
146,-188.1313560172756
147,-152.63396228223135
148,-146.92631213176372
149,-238.15166154694884
150,-228.12794660568872
151,-178.1954698370204
152,-215.5334504099274
153,-223.96000933177552
154,-219.0021395294912
155,-218.2779788526421
156,-219.86202826202395
157,-204.97498317052305
158,-150.24036057890024
159,-192.6363226484364
160,-259.75489093197234
161,-276.6180187590623
162,-259.71593859351435
163,-256.2199793748738
164,-270.2807157439509
165,-301.2212080480788
166,-318.2774015451952
167,-318.7319703778753
168,-332.6276675905267
169,-355.2151664040478
170,-379.43313940421336
171,-373.01425906600497
172,-370.14500032095793
173,-364.9966119694916
174,-420.9272094632518
175,-418.47787208221627
176,-398.84290495471606
177,-389.7057057717159
178,-416.6653768395465
179,-415.11052146017096
180,-438.1610490037895
181,-418.21443515902746
182,-403.8369850703582
183,-328.4453414700163
184,-336.7776630932442
185,-299.27007699939406
186,-286.2525964003496
187,-289.3503137349754
188,-263.08588878248554
189,-242.54530966395365
190,-245.84280633914287
191,-251.52935405949407
192,-219.8532773754193
193,-222.3374020660257
194,-227.17049377521752
195,-171.25449702068082
196,-264.58542497865955
197,-297.830879568643
198,-227.36201896959457
199,-192.74702589082244
200,-203.59522637199103
201,-142.9784394369539
202,-206.6834023125998
203,-151.24708124308972
204,-207.0263517319468
205,-192.00969469673595
206,-143.284589407154
207,-187.9191693689568
208,-185.497434059032
209,-184.4342009034822
210,239.4126513918003
211,897.2023494120191
212,68.13654641058476
213,232.72050989565253
214,-136.98959729130524
215,46.00156943823587
216,911.1728948081774
217,190.5309240319044
218,-171.0695016545697
219,142.4294444895663
220,-206.62896718111045
221,689.6348681757638
222,-230.17983345731244
223,175.58708940090887
224,-390.499957931321
225,-403.7430486398002
226,-415.5885556172552
227,-404.7044353421246
228,-346.1469272692891
229,-219.17176266974184
230,-118.71748624251208
231,-166.94075278225648
232,-146.09108661086927
233,353.48641501242264
234,-171.4806552643426
235,-123.6640499444465
236,-153.9364459738483
237,1374.5708530713723
238,547.3478923686371
239,265.8660506446629
240,992.898524389432
241,1331.1198710567803
242,-242.52001897897247
243,1317.8355986731983
244,200.7368620407064
245,568.1624677856023
246,-124.3942489996852
247,606.5336347849236
248,102.3972746478209
249,449.2436135345815
250,-389.82873767173714
251,659.2417369258789
252,518.9018176649741
253,569.5059464398626
254,7.752948274285783
255,413.98509926496666
256,231.113041091108
257,447.65969095791104
258,522.761024520205
259,819.5114496088839
260,577.2225591404284
261,891.3471483619344
262,792.7842387642845
263,788.7665616351767
264,590.3743654931565
265,233.4886087074488
266,553.4540447193166
267,839.9396994871619
268,392.9717230458566
269,261.703007068304
270,879.5840061979148
271,482.0233802520377
272,122.10464224352764
273,495.8711004212906
274,652.0623426794651
275,494.3495856733693
276,649.191289370644
277,631.1385155726334
278,-66.67646063526918
279,274.5226299283364
280,835.8671985390043
281,124.40140923977656
282,98.95386007747284
283,495.7013353450116
284,750.5313027159777
285,860.7663227381848
286,91.74440151552965
287,391.6105015161966
288,766.4640048740391
289,566.6743527280075
290,602.5785905857241
291,711.6261292765748
292,779.6918753473179
293,607.6472188939508
294,575.7537891386828
295,618.0657632093685
296,327.3445689359994
297,615.9429389811427
298,707.8876595921391
299,431.8301497378782
300,543.5855383810224
301,541.3378200993524
302,590.8403656755273
303,-36.24460705915442
304,-109.04753347598148
305,84.60301410004766
306,-7.873853396185578
307,120.73272168932348
308,91.49907921250372
309,115.4298985495656
310,116.45771712513196
311,154.5181554471768
312,277.8997478886036
313,158.77686099130494
314,399.08572683289634
315,455.6549992146974
316,266.90335744024424
317,681.8474606579249
318,92.97357399479478
319,605.0482578663494
320,124.41110724618837
321,709.6954910547529
322,119.59059037122896
323,607.2661062297173
324,102.9051363789866
325,747.5420835341671
326,673.4875020744299
327,234.019342264191
328,124.06033362281109
329,518.6962735028395
330,1096.8403334298755
331,607.5283721118127
332,1128.5458628544634
333,945.0818881654716
334,100.644496084427
335,115.84736667995088
336,695.1361552763566
337,305.14816983865023
338,-58.93623328543321
339,258.0270735134636
340,281.2223816386756
