Episode,Score
251.0,-225.95611803213666
252.0,-226.11370758505805
253.0,-226.30032983442283
254.0,-225.94986768990412
255.0,-225.88493604617304
256.0,-226.10590855491526
257.0,-225.9538784289737
258.0,-225.860458238701
259.0,-225.65969895206314
260.0,-225.4478203008028
261.0,-225.15951719120443
262.0,-225.1102714916352
263.0,-224.5347095851287
264.0,-226.03064662995226
265.0,-226.7686689681369
266.0,-229.71404395211022
267.0,-229.00535719605335
268.0,-231.62131640380744
269.0,-228.17057349734034
270.0,-231.1414952034507
271.0,-230.17166318625547
272.0,-229.61310095955227
273.0,-228.337789157577
274.0,-233.01121569646884
275.0,-238.39842133433459
276.0,-238.5838585464572
277.0,-242.71918250672962
278.0,-248.10244884366216
279.0,-244.12688043855326
280.0,-247.80838975740278
281.0,-251.67637545923003
282.0,-253.31077096671717
283.0,-250.71805491570979
284.0,-251.78537888612746
285.0,-252.97622495054367
286.0,-253.65343438196254
287.0,-252.21308451937082
288.0,-252.09344293275493
289.0,-254.03013253469817
290.0,-253.74821851666798
291.0,-254.8925654541101
292.0,-254.315264611997
293.0,-254.85598205508896
294.0,-253.74013058516192
295.0,-254.09184174421253
296.0,-253.6222172308294
297.0,-254.33448834372433
298.0,-253.98987939438084
299.0,-255.2408746873885
300.0,-252.58569662822975
301.0,-252.02590358367365
302.0,-252.74189928844643
303.0,-252.25610049391153
304.0,-253.0363740386058
305.0,-251.1267944784166
306.0,-252.6505233623901
307.0,-252.53659869449183
308.0,-252.17938940710363
309.0,-253.33340245087598
310.0,-252.36767467853008
311.0,-253.3141255137894
312.0,-253.4075240536569
313.0,-253.42370679478444
314.0,-253.04338060050915
315.0,-251.51784414970462
316.0,-253.0196410834781
317.0,-250.37384951092776
318.0,-249.65823149030578
319.0,-253.18185466874533
320.0,-253.66982554297644
321.0,-251.76452408278828
322.0,-252.11752553286894
323.0,-250.47795903310103
324.0,-251.35678731926564
325.0,-251.02170705892226
326.0,-250.69213717146675
327.0,-252.91098326077406
328.0,-251.41252101891237
329.0,-254.09630105515114
330.0,-251.07701888086547
331.0,-252.8021212958512
332.0,-252.13936044236922
333.0,-254.4715047202746
334.0,-248.935461488118
335.0,-255.12655901856857
336.0,-257.45682549733704
337.0,-252.41653901645154
338.0,-255.113347509695
339.0,-252.4745089591317
340.0,-253.12357405965554
341.0,-251.65778765365658
