Episode,Score
1,93.7127315174677
2,83.56677908649826
3,147.07101182629222
4,131.68016431172828
5,84.64309851404747
6,87.8993586474116
7,92.79644555790289
8,72.54263390380055
9,113.50429233446884
10,127.67575231544966
11,102.92301740460132
12,139.0381647771668
13,79.61984787500897
14,123.67758885624056
15,120.46310518016632
16,83.59935294546752
17,152.27121943703176
18,86.79848325689684
19,131.76545350651563
20,122.6986284859663
21,94.15643288426072
22,78.46441648142985
23,120.75067730225562
24,141.08746999160658
25,101.01941572502992
26,42.97976783077425
27,143.0528646266091
28,122.55000804190274
29,72.57092630977745
30,141.9945415862203
31,103.28743017576036
32,110.36046747918434
33,111.21198127440891
34,110.33988377829084
35,103.1722030185012
36,130.96385709400153
37,117.49975580977174
38,111.58714251807316
39,115.33683996827251
40,111.31066301404614
41,138.0918745143724
42,91.69223455141297
43,107.52767014874334
44,72.62319081364336
45,118.6038462738666
46,131.9855403290424
47,117.51680979169949
48,92.00017932058286
49,100.108419419668
50,50.92892522108926
51,59.30625943718013
52,67.53181539483629
53,123.75623809700564
54,113.66987295558268
55,126.79547244519964
56,107.32349836971969
57,114.49541568361398
58,117.6843747089674
59,117.6302664361548
60,94.30218754731364
61,108.23169775743692
62,108.50020817042966
63,142.19021083121498
64,99.195253205901
65,98.3310227230247
66,119.69699112343368
67,105.33338187698952
68,95.23242740335316
69,94.1687411753786
70,96.26990939219996
71,93.98246128829672
72,87.89407056058168
73,118.65127644121222
74,94.10036268613987
75,54.3972078971718
76,110.40777525381516
77,95.09795971169017
78,97.1558280616589
79,77.90990427584579
80,104.29379859359028
81,99.17731702561775
82,89.93290703526809
83,106.55584458977545
84,110.47268680168249
85,101.30389493839246
86,116.55986584568336
87,104.3931783062198
88,72.7121185374087
89,109.49877937929809
90,100.27966913988168
91,98.3014516407165
92,102.27117677978096
93,102.32018560260384
94,146.15920277618227
95,73.71470274697649
96,49.10521951573587
97,111.41404742452072
98,108.50474699757874
99,108.41410373082576
100,135.97659658702818
101,112.60204184132267
102,99.34640277409564
103,124.81543352769172
104,107.58276987157817
105,88.97165771062171
106,114.57134136611796
107,116.43091303331464
108,96.2925739120523
109,104.27037900617889
110,109.5600715216667
111,122.75755912936042
112,94.06931698654968
113,99.30686665224074
114,94.13985261796418
115,159.52563500878114
116,114.4716000248742
117,128.80093257722288
118,112.424119038103
119,101.35485576512345
120,97.23406969511898
121,87.0155880010384
122,99.20658187219117
123,124.69041865094648
124,128.75369484469783
125,114.47805461809928
126,102.3376442053952
127,56.39545826978075
128,104.33245240051718
129,99.15569003039776
130,130.76308334551894
131,45.25650041740671
132,136.08229382558213
133,146.99825378814353
134,83.89629201906543
135,100.22324770644433
136,119.63218883673774
137,136.91790568943736
138,144.24896094532107
139,119.59050458993492
140,151.30870490905494
141,172.2924247298489
142,123.78699736893678
143,120.73169880084558
144,115.5244466104136
145,121.674926359791
146,129.87284761096228
147,117.51724166889552
148,146.12241639371751
149,135.93765348268386
150,120.8060655713298
151,112.43460419855812
152,85.9447929431212
153,146.05816348910108
154,106.20968940963004
155,179.56306408684085
156,102.17891124298596
157,98.09487634229208
158,150.24484372332245
159,54.43892652343906
160,109.1064920792082
161,178.71624104100104
162,160.35707062043858
163,138.15692345166548
164,156.3828864568369
165,131.7972805345896
166,144.13194091705665
167,140.13010509898882
168,141.98341228266207
169,171.58420810022886
170,149.24466761809526
171,142.01755019537373
172,133.82866794610402
173,134.84391171898565
174,127.8086071754868
175,125.82065582786136
176,153.46758477122984
177,163.4112272639939
178,119.52626432413066
179,178.40585699993542
180,114.53557091558204
181,153.27343152832222
182,147.2764972908193
183,143.1219308777905
184,146.0959050047615
185,126.94764417961174
186,140.0624011976749
187,118.54105267031734
188,153.55971787293427
189,162.58580138390676
190,172.60851500921586
191,122.46181122768358
192,140.0990072472437
193,185.8760021641025
194,131.86885114065407
195,123.8426538792311
196,129.81090081380404
197,151.22841575797815
198,152.54326013719262
199,148.09828336688838
200,143.09965340058903
201,138.03161191357103
202,158.32213533445776
203,147.0950619812277
204,125.38813441717126
205,138.85645409432163
206,167.59335071548054
207,113.34164695945243
208,151.04261101415906
209,141.1242143231857
210,118.2818935914056
211,133.8616119033736
212,147.07600501785322
213,140.95175987187503
214,184.6918554533082
215,127.79873061045784
216,172.44749189479364
217,154.10545601157122
218,147.25193620755948
219,130.87814839050233
220,137.93501295413958
221,149.16799347054615
222,111.72047750233732
223,122.7884276016344
224,157.45077362269697
225,152.27159666549932
226,159.4102400457519
227,193.8555006945084
228,157.29836302694778
229,153.52330637520217
230,145.08199484445393
231,156.4802571649252
232,30.3111352611978
233,155.30083625990892
234,136.77687482909806
235,156.44138237810438
236,124.61993587909656
237,139.82815029843795
238,187.82182752002976
239,147.06223297206074
240,139.99785311046836
241,145.2206187810848
242,150.30233836242664
243,148.21813247344605
244,161.36783031948775
245,153.51026015220214
246,166.44176597150684
247,155.50277660743382
248,139.885236353929
249,149.24867083815425
250,145.27021288702346
251,151.33405637269982
252,149.0151311219764
253,145.19262871722756
254,134.81757996271972
255,149.14882460906946
256,133.87989136115357
257,137.1007399243165
258,146.12425879473648
259,122.59366939179344
260,110.49425383446776
261,114.68782734322706
262,140.78551765025264
263,111.776615678171
264,144.07805632592047
265,120.56969195737236
266,150.24637877316863
267,111.3759964096435
268,121.5881398794176
269,98.33010818993064
270,140.8932239946597
271,153.33879126781486
272,126.64350618924934
273,110.52265871326476
274,106.35730290159916
275,131.6797096614946
276,127.70649357192366
277,130.95851264071243
278,114.73125873081932
279,119.84584790702992
280,114.68221079561256
281,124.91292592998424
282,147.28494319511415
283,114.40706978653805
284,153.36010106922953
285,137.9240104968742
286,128.7138056863053
287,126.80241285675947
288,150.26615020944695
289,127.73064477618364
290,161.49481974263384
291,130.5746069679402
292,186.8386887823132
293,160.52867838449066
294,172.6807891786783
295,135.88498998319952
296,144.14793209579724
297,26.49928128785397
298,156.38809886252812
299,139.84021997548967
300,182.673591884452
301,157.26920406984803
302,219.90542825892413
303,136.7875461004293
304,155.46834553669177
305,177.61923707170982
306,160.5184472838334
307,164.46268099575025
308,203.95554569456235
309,146.8961741092309
310,166.6293693825912
311,192.77576103848443
312,157.19835147991205
313,165.34767853857255
314,169.58522231023267
315,25.512788681182226
316,185.7260396432792
317,130.78051372761794
318,36.22374695577759
319,199.03018911086988
320,179.5794582180015
321,147.27650984252125
322,152.32633978272216
323,158.54443694952593
324,175.55964700286052
325,223.77537158281405
326,179.76868168843984
327,177.6038168393195
328,193.2405686622168
329,191.73393318078493
330,186.7824249403828
331,167.3436975436042
332,181.82300978063287
333,168.4397812033093
334,201.9433968395132
335,143.91340607224828
336,112.56914655612417
337,47.05954839117216
338,144.27638136411937
339,136.72682117318317
340,196.9009127013572
341,158.36677620476675
342,189.98970172507177
343,160.22490807672418
344,137.0087737023909
345,182.77569638525804
346,134.6647275918063
347,169.46610966174904
348,142.15071570585397
349,160.46242194423778
350,165.3662516198129
351,146.3323043488612
352,171.5793366576782
353,143.10877907006403
354,189.7779808008937
355,150.27161446561894
356,214.41588822456023
357,140.9033013362019
358,139.1786161262464
359,148.0977187237199
360,150.46446212417118
361,169.3793753847554
362,172.5655600510134
363,123.37762052766708
364,182.7597932890371
365,200.9970183931672
366,172.6166390737936
367,168.58426964727587
368,182.76739824394025
369,164.70156164947335
370,145.2710213248506
371,143.14105281052278
372,243.5223815301789
373,113.30751763709635
374,120.44923741554294
375,71.43191842874592
376,160.55839791234658
377,149.26068836416684
378,139.99453966725136
379,44.951501177992746
380,148.291591035795
381,146.17798908356482
382,110.30029896037908
383,145.2350519076479
384,198.2003613767909
385,143.997804943492
386,160.39314253323752
387,138.95345473467967
388,149.10292244317904
389,113.56538516437227
390,131.89539692259643
391,145.0771348187921
392,162.50479829440616
393,143.01833562977927
394,178.16431018873928
395,174.32520570254695
396,192.701396038358
397,139.00962306530977
398,158.30974882487337
399,150.2853299099144
400,152.21501092175663
401,167.5656091913147
402,152.14479376640466
403,158.36976621006983
404,160.3629410468462
405,157.9847608037216
406,156.26362807741225
407,169.63027424209312
408,133.86668264085307
409,124.55486942539169
410,119.51530613421428
411,37.136763544313865
412,154.063534289576
413,182.15671386301605
414,189.8996934086381
415,111.49480653091372
416,106.24396343859269
417,28.911084404278263
418,91.69211991765629
419,180.53412280352828
420,149.29125855245306
421,87.60185751736974
422,137.02174495362445
423,158.4372568427497
424,89.97947195452562
425,172.53924381440623
426,169.38660749820295
427,133.89322489469703
428,132.7630524351194
429,178.83720816872923
430,134.92954269249955
431,176.54678449335398
432,140.8756460339688
433,154.38465661910726
434,126.71057289527896
435,143.0400952133038
436,150.15093243648863
437,164.27177454409775
438,146.06487902353092
439,173.50848375348508
440,162.26079408265966
441,161.43355086513566
442,156.2165792898425
443,150.19135998698914
444,151.93552837469335
445,187.93850278734365
446,132.73941306684333
447,148.1256610797226
448,157.26214683722804
449,171.61338537358952
450,146.06027236532822
451,176.68293591898131
452,159.14687964665742
453,145.18270400700771
454,192.7887908971566
455,88.116813741174
456,120.35840984478058
457,110.2855265935855
458,146.30795252362196
459,159.333114117038
460,142.97818721725184
461,141.84617281294737
462,142.13331378363162
463,156.162730485052
464,99.13680249859684
465,108.24939990607298
466,141.8149482439819
467,43.57360001451815
468,112.37821898081184
469,141.05399105551206
470,101.1477208380903
471,165.40969535561118
472,162.31828001468455
473,192.6470185825124
474,155.3224763714432
475,136.8299801636634
476,80.90730742576376
477,77.92070385492204
478,133.99535551060106
479,180.74011525451053
480,138.91473170120528
481,103.26711325700524
482,158.3697423743851
483,32.33983356476509
484,93.31261757434169
485,80.97941877135774
486,100.18879054797668
